,Algorithm,Descriptor,R2,RMSE,MSE,RPD,MAE,Explained Var
1,DecisionTreeRegressor,_dipeptide_composition,0.2505487019928402,4.8436887549384275,23.461320754716983,1.1551231612784498,3.813207547169812,0.25693627551322096
6,DecisionTreeRegressor,_CTD,0.22637850041625016,4.544206346630258,20.64981132075472,1.1369352577034129,3.60377358490566,0.2734365143065506
11,KNN,_seq_order_coupling_number,0.12081965519370595,5.542341307589358,30.71754716981131,1.0665003807698454,4.7279245283018865,0.14117857555519375
11,AdaBoostRegressor,_seq_order_coupling_number,0.08300359399719492,5.785074307041364,33.467084737990106,1.04427813103392,4.832082019763019,0.08330117568773354
13,DecisionTreeRegressor,_pseudo_AAC,0.058944604226124124,6.0296593977462924,36.35679245283017,1.0308427133660931,4.552830188679247,0.07095320184425302
11,SVR,_seq_order_coupling_number,0.014423632379580331,5.737739455327435,32.921654057221176,1.0072907813409733,4.658618825297448,0.04648177240693418
11,PLSRegression,_seq_order_coupling_number,-0.07642368870281091,4.775458052009195,22.804999606499447,0.9638476141400972,3.9732868144772655,-0.04633948332162574
3,DecisionTreeRegressor,_normalized_moreaubroto_autocorrelation,-0.20818184197429512,6.435382734802665,41.41415094339622,0.9097746842905756,5.171698113207548,-0.1253619383360931
0,DecisionTreeRegressor,_aa_composition,-0.29014358603077395,5.861563317776401,34.35792452830189,0.8804019102410119,4.3226415094339625,-0.21831995842084814
4,DecisionTreeRegressor,_moran_autocorrelation,-0.378349137967068,5.934469186734555,35.21792452830189,0.8517661572795486,4.349056603773585,-0.36622396972644
7,DecisionTreeRegressor,_composition,-0.3818118959969128,5.688286541093452,32.3566037735849,0.8506982441173208,4.916981132075472,-0.3805804389277869
11,RandomForestRegressor,_seq_order_coupling_number,-0.3875136799381924,6.597307903563653,43.52447157442346,0.8489485348984104,5.15388050314466,-0.3561232758776129
11,BaggingRegressor,_seq_order_coupling_number,-0.3876199964171303,6.512340390250692,42.41057735849055,0.8489160119641208,5.3396226415094326,-0.3710299188216881
11,DecisionTreeRegressor,_seq_order_coupling_number,-0.5221919463886453,6.799583783044483,46.23433962264153,0.8105229008172392,5.415094339622642,-0.4617689984111431
