,Algorithm,Index,R2,RMSE,MSE,RPD,MAE,Explained Var
2002,DecisionTreeRegressor,MIYS990104,1.0,5.190993651926346,26.946415094339628,1.1723797636174813,3.7547169811320766,0.25943742995305363
2010,DecisionTreeRegressor,MUNV940105,1.0,5.5078160586433045,30.336037735849064,1.1704032376544207,4.050943396226415,0.27013187770394
2009,DecisionTreeRegressor,MUNV940104,1.0,4.805303673674164,23.090943396226415,1.2205793911418732,3.5698113207547166,0.34731072988914413
2008,DecisionTreeRegressor,MUNV940103,1.0,6.055466889124489,36.668679245283016,0.9228545589131593,4.581132075471698,-0.18937870652296906
2007,DecisionTreeRegressor,MUNV940102,1.0,5.767688134347621,33.26622641509434,0.9549730415543565,4.220754716981133,-0.11747981433131649
2006,DecisionTreeRegressor,MUNV940101,1.0,5.556043794059712,30.869622641509437,1.1347356515950757,4.662264150943398,0.2149489268793281
2005,DecisionTreeRegressor,MONM990201,1.0,5.639500178575309,31.803962264150943,1.0907712934184461,4.439622641509434,0.14519931833899058
2004,DecisionTreeRegressor,MONM990101,1.0,5.039111182483867,25.39264150943396,0.8764867852971416,3.8698113207547165,-0.22949799394743153
2003,DecisionTreeRegressor,MIYS990105,1.0,5.865103064931097,34.399433962264155,0.9662279380142325,4.4849056603773585,-0.08318093907702062
2001,DecisionTreeRegressor,MIYS990103,1.0,5.877507493795533,34.54509433962265,1.0263043825430351,4.628301886792454,0.10120856586362859
1992,DecisionTreeRegressor,MEEJ810101,1.0,4.870434485286883,23.721132075471704,1.296134572808486,4.045283018867925,0.39508691919870675
2000,DecisionTreeRegressor,MIYS990102,1.0,5.674088739072374,32.195283018867926,1.0741042164002486,4.277358490566039,0.12310758770170582
1999,DecisionTreeRegressor,MIYS990101,1.0,5.419705485279604,29.37320754716982,1.1072866704445286,4.226415094339623,0.18372182574473617
1998,DecisionTreeRegressor,MIYS850101,1.0,4.80129699458268,23.052452830188678,1.2512806711963722,3.6679245283018864,0.35831743121811577
1997,DecisionTreeRegressor,MITS020101,1.0,5.14656874153263,26.487169811320758,1.1914766404079187,3.913207547169812,0.31186871611022593
1996,DecisionTreeRegressor,MEIH800103,1.0,6.4645185435575945,41.79,0.8887830058470915,5.330188679245283,-0.2900865470645002
1995,DecisionTreeRegressor,MEIH800102,1.0,5.658054869445892,32.01358490566037,1.067707604403964,4.456603773584906,0.11195416414466597
1994,DecisionTreeRegressor,MEIH800101,1.0,5.419879550287316,29.37509433962264,0.8803318350925338,4.328301886792453,-0.27965486034805287
1993,DecisionTreeRegressor,MEEJ810102,1.0,4.630905205126524,21.445283018867933,1.2131733936789595,3.5698113207547166,0.3264382414572763
1880,DecisionTreeRegressor,GEOR030109,1.0,6.031489693643544,36.37886792452829,0.9405870263791505,4.6716981132075475,-0.12432300314676659
1879,DecisionTreeRegressor,GEOR030108,1.0,5.780742264802633,33.41698113207548,0.9648451890328709,4.615094339622641,-0.09485616843391975
1878,DecisionTreeRegressor,GEOR030107,1.0,5.282920147325612,27.90924528301887,1.1972006402562778,3.986792452830189,0.2888943030641228
1877,DecisionTreeRegressor,GEOR030106,1.0,5.646204268489534,31.87962264150943,1.1215613309473078,4.596226415094339,0.19521173571549189
1762,DecisionTreeRegressor,CHAM830101,1.0,4.6778684066772,21.88245283018868,1.334124079624833,3.7792452830188683,0.44785381236520805
1761,DecisionTreeRegressor,CHAM820102,1.0,5.677396426944242,32.232830188679245,1.0361206394082738,4.528301886792453,0.09851181288629729
1760,DecisionTreeRegressor,CHAM820101,1.0,4.777245594659973,22.822075471698113,1.2452940975157045,3.7528301886792454,0.3747894431539064
1759,DecisionTreeRegressor,CHAM810101,1.0,5.493237695326727,30.175660377358486,1.0641285563235607,4.243396226415094,0.11837827000912804
1758,DecisionTreeRegressor,CEDJ970105,1.0,4.595711700894199,21.120566037735852,1.306710949047473,3.677358490566038,0.4109155162688982
1757,DecisionTreeRegressor,CEDJ970104,1.0,4.941678730881367,24.420188679245282,1.3111673332722928,3.6811320754716994,0.4324302507040442
1756,DecisionTreeRegressor,CEDJ970103,1.0,5.00463935707056,25.04641509433963,1.2227470647357337,4.026415094339623,0.3524787131086323
1755,DecisionTreeRegressor,CEDJ970102,1.0,6.450654493632908,41.610943396226425,0.9324014241985044,4.7207547169811335,-0.15567873915414943
1754,DecisionTreeRegressor,CEDJ970101,1.0,6.405746241122917,41.03358490566038,0.8766824797733469,5.139622641509435,-0.31961836571835667
1753,DecisionTreeRegressor,CASG920101,1.0,4.854700115099507,23.568113207547167,1.029601719026924,3.549056603773585,0.05704329549791631
1752,DecisionTreeRegressor,BURA740102,1.0,4.526900726620724,20.49283018867924,1.2385381000736049,3.422641509433962,0.33606582921939165
1751,DecisionTreeRegressor,BURA740101,1.0,4.2766147783339274,18.289433962264148,1.3359710681882133,3.0792452830188677,0.4522605457677984
1750,DecisionTreeRegressor,BUNA790103,1.0,4.988420553906968,24.8843396226415,1.1501044103020448,4.081132075471698,0.27251564126657546
1749,DecisionTreeRegressor,BUNA790102,1.0,5.0220269530321255,25.220754716981133,1.2599814121814052,4.060377358490566,0.3581781247519219
1748,DecisionTreeRegressor,BUNA790101,1.0,5.572218825702149,31.049622641509433,0.898028525037876,4.1415094339622645,-0.2623623037620304
1747,DecisionTreeRegressor,BULH740102,1.0,5.229867057006542,27.351509433962267,1.031737484334714,4.009433962264151,0.04341071475750413
1746,DecisionTreeRegressor,BULH740101,1.0,5.268167129624912,27.75358490566038,1.0657837715741088,3.943396226415095,0.10879554123955171
1745,DecisionTreeRegressor,BROC820102,1.0,5.540008854975555,30.691698113207554,1.1589184118423619,4.162264150943396,0.3000290474547389
1744,DecisionTreeRegressor,BROC820101,1.0,5.641323275782624,31.824528301886797,0.9730298458048047,4.5094339622641515,-0.03711507953042048
1763,DecisionTreeRegressor,CHAM830102,1.0,5.610065078827451,31.472830188679257,1.005146825887839,4.464150943396227,-0.0034956640255388027
1765,DecisionTreeRegressor,CHAM830104,1.0,7.049421226075338,49.69433962264152,0.88269517596399,5.633962264150942,-0.30659497620761655
1766,DecisionTreeRegressor,CHAM830105,1.0,6.149336518897102,37.814339622641526,0.9827516216343674,4.87924528301887,0.012792169470711712
